HTS,HTS Six-Digit,BEC Code,BEC Description,2015 Imports for Consumption,2016 Imports for Consumption,2017 Imports for Consumption,2018 Imports for Consumption,January through April 2019 Imports for Consumption,"Average Imports for 2015, 2016, and 2017",is_electronics
85287224,852872,61,Consumption,19001,12538,93590,226127,5000,41709.66797,True
85287228,852872,61,Consumption,6060,0,114545,6377,0,40201.66797,True
85287236,852872,61,Consumption,0,49116,9576,0,0,19564.0,True
85287240,852872,61,Consumption,321825,179540,3795,0,0,168386.6719,True
85287244,852872,61,Consumption,0,4012680,0,0,0,1337560.0,True
85287300,852873,41,Capital,442259,411808,327246,215730,21800,393771.0,True
85291021,852910,42,Intermediate,0,42217840,81132032,79102072,25388678,41116624.0,True
85299004,852990,42,Intermediate,0,10331,69883,636966,355391,26738.0,True
85299036,852990,42,Intermediate,1522896,1340254,1072892,524661,56018,1312014.0,True
85299039,852990,42,Intermediate,19308784,29029970,19833054,24365838,4240048,22723936.0,True
85299043,852990,42,Intermediate,98539,18241,134582,80633,3931,83787.33594,True
85299049,852990,42,Intermediate,9280888,13051056,21318100,24006178,6086796,14550015.0,True
85299054,852990,42,Intermediate,0,0,17816064,20268674,1639316,5938688.0,True
85299075,852990,42,Intermediate,16288380,15936702,12347446,30682308,9451984,14857509.0,True
85299086,852990,42,Intermediate,114265720,104573000,90231960,102777792,26046372,103023560.0,True
85299088,852990,42,Intermediate,56236,135473,0,110485,2288,63903.0,True
