HTS,HTS Six-Digit,BEC Code,BEC Description,2015 Imports for Consumption,2016 Imports for Consumption,2017 Imports for Consumption,2018 Imports for Consumption,January through April 2019 Imports for Consumption,"Average Imports for 2015, 2016, and 2017"
85258010,852580,41,Capital,3280757,5002113,3899566,3525879,129777,4060812
85258020,852580,61,Consumption,914843,1684428,2674612,2274081,494766,1757961
85261000,852610,41,Capital,3372573,3509426,4000561,15360564,5599244,3627520
85269100,852691,41,Capital,813476608,844844288,432815520,260950720,23388036,697045504
85269250,852692,41,Capital,154201136,135037344,130184496,129011728,30568722,139807664
85279915,852799,41,Capital,29663800,32428528,37972964,19975368,1099107,33355098
85279940,852799,41,Capital,3262698,3003650,3098686,1103746,171376,3121678
85291040,852910,42,Intermediate,88435528,70890392,85775760,63969928,10232620,81700560
85299005,852990,42,Intermediate,0,61669,56298,66612,135533,39322.33203
85299006,852990,42,Intermediate,4802248,4596655,3545058,2328853,570071,4314653.5
85299009,852990,42,Intermediate,2779903,1512052,821573,846010,96470,1704509.375
85299016,852990,42,Intermediate,2944047,4191962,7087959,13071811,7632361,4741322.5
85299019,852990,42,Intermediate,2128313,2329143,3651755,3241897,311196,2703070.25
85299022,852990,42,Intermediate,145454080,121214080,123515040,66515760,8073937,130061064
85299024,852990,42,Intermediate,0,263438,898801,827603,70245,387413
85299029,852990,42,Intermediate,164472,135245,568522,333958,22568,289413
85299033,852990,42,Intermediate,4375,0,0,4369,0,1458.333374
85299046,852990,42,Intermediate,281934,207631,116737,177539,34180,202100.6719
85299063,852990,42,Intermediate,451300,236957,546842,156452,10020,411699.6563
85299068,852990,42,Intermediate,0,3318676,7574136,3817953,369516,3630937.25
85299073,852990,42,Intermediate,1001264,406941,1325910,2571369,85093,911371.6875
85299078,852990,42,Intermediate,1211392,1012669,1135580,1085874,106809,1119880.375
85299081,852990,42,Intermediate,17650252,24198262,23450524,22929608,7361053,21766346
85299083,852990,42,Intermediate,4003775,4868827,11097144,3257651,1318063,6656582
85299089,852990,42,Intermediate,1471720,1973284,1728060,621836,304888,1724354.625
85299093,852990,42,Intermediate,15223636,12927797,14806457,6474460,2252116,14319297
85299095,852990,42,Intermediate,2593011,3244470,2143160,2235686,981488,2660213.75
85299097,852991,7,Unspecified,8060441,6791168,8255096,12203691,4818188,7702235
85299099,852991,7,Unspecified,181609888,234728112,220754528,133056952,18246148,212364176
85301000,853010,41,Capital,4785745,981839,2150502,2357231,1209317,2639362
85308000,853080,41,Capital,17821844,13983029,18621134,14101785,4110287,16808668
85309000,853090,42,Intermediate,35404924,36895792,37804088,27604604,10160392,36701600
85321000,853210,41,Capital,17735344,15913659,14374342,17169312,4818992,16007782
85322100,853221,41,Capital,30787084,29235028,32101580,31416716,6773230,30707898
85322200,853222,41,Capital,43805368,40884536,44915608,45033424,11502036,43201836
85322300,853223,41,Capital,7006033,7139031,7009131,8873298,1613206,7051398.5
85322400,853224,41,Capital,68454584,60874932,74910480,135304912,43800164,68080000
85322500,853225,41,Capital,52210684,45780728,52164088,51893392,15461902,50051832
85322900,853229,41,Capital,22104664,22568984,22069904,27786452,3718772,22247850
85323000,853230,41,Capital,4554086,5481744,4211455,5064302,851516,4749095
85329000,853290,42,Intermediate,4561546,4287282,4196113,3412139,1018903,4348313.5
85331000,853310,42,Intermediate,7699025,6713928,6705300,8143591,1729432,7039417.5
85332100,853321,42,Intermediate,43791360,43794016,44315640,63122024,13722770,43967004
